이름,이메일,비밀번호,role
비욘세,seoul01@axtest.com,000000,STUDENT
세레나 윌리엄스,seoul02@axtest.com,000000,STUDENT
우사인 볼트,seoul03@axtest.com,000000,STUDENT
이소룡,seoul04@axtest.com,000000,STUDENT
찰리 채플린,seoul05@axtest.com,000000,STUDENT
프리다 칼로,seoul06@axtest.com,000000,STUDENT
넬슨 만델라,paris01@axtest.com,000000,STUDENT
레오나르도 다빈치,paris02@axtest.com,000000,STUDENT
리오넬 메시,paris03@axtest.com,000000,STUDENT
마리 퀴리,paris04@axtest.com,000000,STUDENT
오드리 헵번,paris05@axtest.com,000000,STUDENT
오프라 윈프리,paris06@axtest.com,000000,STUDENT
무하마드 알리,toronto01@axtest.com,000000,STUDENT
알베르트 아인슈타인,toronto02@axtest.com,000000,STUDENT
엠마 왓슨,toronto03@axtest.com,000000,STUDENT
월트 디즈니,toronto04@axtest.com,000000,STUDENT
코코 샤넬,toronto05@axtest.com,000000,STUDENT
테일러 스위프트,toronto06@axtest.com,000000,STUDENT
데이비드 베컴,sydney01@axtest.com,000000,STUDENT
마이클 조던,sydney02@axtest.com,000000,STUDENT
스티브 잡스,sydney03@axtest.com,000000,STUDENT
아델,sydney04@axtest.com,000000,STUDENT
일론 머스크,sydney05@axtest.com,000000,STUDENT
크리스티아누 호날두,sydney06@axtest.com,000000,STUDENT
